document_id,title,file_name,relative_path,file_type,topic,content_type,status,can_use_for_generation,can_use_for_assessment,role_tags,skill_tags,level_tags,ingest_strategy
DOC_001,Cac_use_case_AI_trong_doanh_nghiep,Cac_use_case_AI_trong_doanh_nghiep.docx,raw/docx/AI/Cac_use_case_AI_trong_doanh_nghiep.docx,.docx,AI,lesson,approved,True,True,"['ROLE_AI_FOUNDATION_STAFF', 'ROLE_AI_AGENT_INTERN']","['SK_AI_LITERACY', 'SK_PROMPT_BASIC', 'SK_PROMPT_STRUCTURED', 'SK_AI_TOOL_USE', 'SK_AI_SAFETY', 'SK_WORKFLOW_THINKING']","['beginner', 'intermediate']",parse_to_markdown_then_chunk
DOC_002,Huong_dan_su_dung_ChatGPT_trong_cong_viec,Huong_dan_su_dung_ChatGPT_trong_cong_viec.docx,raw/docx/AI/Huong_dan_su_dung_ChatGPT_trong_cong_viec.docx,.docx,AI,sop,approved,True,True,"['ROLE_AI_FOUNDATION_STAFF', 'ROLE_AI_AGENT_INTERN']","['SK_AI_LITERACY', 'SK_PROMPT_BASIC', 'SK_PROMPT_STRUCTURED', 'SK_AI_TOOL_USE', 'SK_AI_SAFETY', 'SK_WORKFLOW_THINKING']","['beginner', 'intermediate']",parse_to_markdown_then_chunk
DOC_003,Quy_chuan_prompt_noi_bo,Quy_chuan_prompt_noi_bo.docx,raw/docx/AI/Quy_chuan_prompt_noi_bo.docx,.docx,AI,lesson,approved,True,True,"['ROLE_AI_FOUNDATION_STAFF', 'ROLE_AI_AGENT_INTERN']","['SK_AI_LITERACY', 'SK_PROMPT_BASIC', 'SK_PROMPT_STRUCTURED', 'SK_AI_TOOL_USE', 'SK_AI_SAFETY', 'SK_WORKFLOW_THINKING']","['beginner', 'intermediate']",parse_to_markdown_then_chunk
DOC_004,Huong_dan_nhap_lieu_ERP,Huong_dan_nhap_lieu_ERP.docx,raw/docx/ERP_SOP/Huong_dan_nhap_lieu_ERP.docx,.docx,ERP_SOP,sop,approved,True,True,"['ROLE_ERP_OPERATIONS_STAFF', 'ROLE_NEW_HIRE_ONBOARDING']","['SK_ERP_ORDER_ENTRY', 'SK_ERP_REQUEST_APPROVAL', 'SK_ERP_DATA_HYGIENE', 'SK_SOP_COMPLIANCE']","['beginner', 'intermediate']",parse_to_markdown_then_chunk
DOC_005,SOP_duyet_yeu_cau,SOP_duyet_yeu_cau.docx,raw/docx/ERP_SOP/SOP_duyet_yeu_cau.docx,.docx,ERP_SOP,sop,approved,True,True,"['ROLE_ERP_OPERATIONS_STAFF', 'ROLE_NEW_HIRE_ONBOARDING']","['SK_ERP_ORDER_ENTRY', 'SK_ERP_REQUEST_APPROVAL', 'SK_ERP_DATA_HYGIENE', 'SK_SOP_COMPLIANCE']","['beginner', 'intermediate']",parse_to_markdown_then_chunk
DOC_006,SOP_tao_don_hang,SOP_tao_don_hang.docx,raw/docx/ERP_SOP/SOP_tao_don_hang.docx,.docx,ERP_SOP,sop,approved,True,True,"['ROLE_ERP_OPERATIONS_STAFF', 'ROLE_NEW_HIRE_ONBOARDING']","['SK_ERP_ORDER_ENTRY', 'SK_ERP_REQUEST_APPROVAL', 'SK_ERP_DATA_HYGIENE', 'SK_SOP_COMPLIANCE']","['beginner', 'intermediate']",parse_to_markdown_then_chunk
DOC_007,Cach_viet_ticket_task_report,Cach_viet_ticket_task_report.docx,raw/docx/Software_Process/Cach_viet_ticket_task_report.docx,.docx,Software_Process,lesson,approved,True,True,"['ROLE_JUNIOR_SOFTWARE_STAFF', 'ROLE_AI_AGENT_INTERN']","['SK_SOFTWARE_PROCESS', 'SK_TICKET_WRITING', 'SK_GIT_FLOW', 'SK_CODE_REVIEW', 'SK_REPORTING', 'SK_PROJECT_EXECUTION']","['beginner', 'intermediate']",parse_to_markdown_then_chunk
DOC_008,Quy_trinh_phat_trien_phan_mem_chuan,Quy_trinh_phat_trien_phan_mem_chuan.docx,raw/docx/Software_Process/Quy_trinh_phat_trien_phan_mem_chuan.docx,.docx,Software_Process,sop,approved,True,True,"['ROLE_JUNIOR_SOFTWARE_STAFF', 'ROLE_AI_AGENT_INTERN']","['SK_SOFTWARE_PROCESS', 'SK_TICKET_WRITING', 'SK_GIT_FLOW', 'SK_CODE_REVIEW', 'SK_REPORTING', 'SK_PROJECT_EXECUTION']","['beginner', 'intermediate']",parse_to_markdown_then_chunk
DOC_009,Handbook_AI_Foundations,Handbook_AI_Foundations.pdf,raw/pdf/AI/Handbook_AI_Foundations.pdf,.pdf,AI,lesson,approved,True,True,"['ROLE_AI_FOUNDATION_STAFF', 'ROLE_AI_AGENT_INTERN']","['SK_AI_LITERACY', 'SK_PROMPT_BASIC', 'SK_PROMPT_STRUCTURED', 'SK_AI_TOOL_USE', 'SK_AI_SAFETY', 'SK_WORKFLOW_THINKING']","['beginner', 'intermediate']",parse_to_markdown_then_chunk
DOC_010,Slide_AI_Agent_Basics,Slide_AI_Agent_Basics.pdf,raw/pdf/AI/Slide_AI_Agent_Basics.pdf,.pdf,AI,lesson,approved,True,True,"['ROLE_AI_FOUNDATION_STAFF', 'ROLE_AI_AGENT_INTERN']","['SK_AI_LITERACY', 'SK_PROMPT_BASIC', 'SK_PROMPT_STRUCTURED', 'SK_AI_TOOL_USE', 'SK_AI_SAFETY', 'SK_WORKFLOW_THINKING']","['beginner', 'intermediate']",parse_to_markdown_then_chunk
DOC_011,Cam_nang_onboarding_ops,Cam_nang_onboarding_ops.pdf,raw/pdf/ERP_SOP/Cam_nang_onboarding_ops.pdf,.pdf,ERP_SOP,sop,approved,True,True,"['ROLE_ERP_OPERATIONS_STAFF', 'ROLE_NEW_HIRE_ONBOARDING']","['SK_ERP_ORDER_ENTRY', 'SK_ERP_REQUEST_APPROVAL', 'SK_ERP_DATA_HYGIENE', 'SK_SOP_COMPLIANCE']","['beginner', 'intermediate']",parse_to_markdown_then_chunk
DOC_012,Quy_trinh_van_hanh_noi_bo,Quy_trinh_van_hanh_noi_bo.pdf,raw/pdf/ERP_SOP/Quy_trinh_van_hanh_noi_bo.pdf,.pdf,ERP_SOP,sop,approved,True,True,"['ROLE_ERP_OPERATIONS_STAFF', 'ROLE_NEW_HIRE_ONBOARDING']","['SK_ERP_ORDER_ENTRY', 'SK_ERP_REQUEST_APPROVAL', 'SK_ERP_DATA_HYGIENE', 'SK_SOP_COMPLIANCE']","['beginner', 'intermediate']",parse_to_markdown_then_chunk
DOC_013,Checklist_code_review,Checklist_code_review.pdf,raw/pdf/Software_Process/Checklist_code_review.pdf,.pdf,Software_Process,checklist,approved,True,True,"['ROLE_JUNIOR_SOFTWARE_STAFF', 'ROLE_AI_AGENT_INTERN']","['SK_SOFTWARE_PROCESS', 'SK_TICKET_WRITING', 'SK_GIT_FLOW', 'SK_CODE_REVIEW', 'SK_REPORTING', 'SK_PROJECT_EXECUTION']","['beginner', 'intermediate']",parse_to_markdown_then_chunk
DOC_014,Huong_dan_Git_flow_release_flow,Huong_dan_Git_flow_release_flow.pdf,raw/pdf/Software_Process/Huong_dan_Git_flow_release_flow.pdf,.pdf,Software_Process,sop,approved,True,True,"['ROLE_JUNIOR_SOFTWARE_STAFF', 'ROLE_AI_AGENT_INTERN']","['SK_SOFTWARE_PROCESS', 'SK_TICKET_WRITING', 'SK_GIT_FLOW', 'SK_CODE_REVIEW', 'SK_REPORTING', 'SK_PROJECT_EXECUTION']","['beginner', 'intermediate']",parse_to_markdown_then_chunk
DOC_015,AI_course_skill_mapping,AI_course_skill_mapping.xlsx,raw/xlsx/AI/AI_course_skill_mapping.xlsx,.xlsx,AI,course_mapping,approved,False,False,"['ROLE_AI_FOUNDATION_STAFF', 'ROLE_AI_AGENT_INTERN']","['SK_AI_LITERACY', 'SK_PROMPT_BASIC', 'SK_PROMPT_STRUCTURED', 'SK_AI_TOOL_USE', 'SK_AI_SAFETY', 'SK_WORKFLOW_THINKING']","['beginner', 'intermediate']",convert_rows_to_json
DOC_016,AI_skill_matrix,AI_skill_matrix.xlsx,raw/xlsx/AI/AI_skill_matrix.xlsx,.xlsx,AI,skill_matrix,approved,False,False,"['ROLE_AI_FOUNDATION_STAFF', 'ROLE_AI_AGENT_INTERN']","['SK_AI_LITERACY', 'SK_PROMPT_BASIC', 'SK_PROMPT_STRUCTURED', 'SK_AI_TOOL_USE', 'SK_AI_SAFETY', 'SK_WORKFLOW_THINKING']","['beginner', 'intermediate']",convert_rows_to_json
DOC_017,Question_bank_AI_Foundation,Question_bank_AI_Foundation.xlsx,raw/xlsx/Assessment/Question_bank_AI_Foundation.xlsx,.xlsx,Assessment,assessment_bank,approved,True,True,"['ROLE_AI_FOUNDATION_STAFF', 'ROLE_AI_AGENT_INTERN', 'ROLE_ERP_OPERATIONS_STAFF', 'ROLE_JUNIOR_SOFTWARE_STAFF']","['SK_AI_LITERACY', 'SK_PROMPT_BASIC', 'SK_PROMPT_STRUCTURED', 'SK_AI_TOOL_USE', 'SK_AI_SAFETY', 'SK_WORKFLOW_THINKING']","['beginner', 'intermediate']",convert_rows_to_json
DOC_018,Question_bank_ERP,Question_bank_ERP.xlsx,raw/xlsx/Assessment/Question_bank_ERP.xlsx,.xlsx,Assessment,assessment_bank,approved,True,True,"['ROLE_AI_FOUNDATION_STAFF', 'ROLE_AI_AGENT_INTERN', 'ROLE_ERP_OPERATIONS_STAFF', 'ROLE_JUNIOR_SOFTWARE_STAFF']","['SK_AI_LITERACY', 'SK_PROMPT_BASIC', 'SK_PROMPT_STRUCTURED', 'SK_AI_TOOL_USE', 'SK_AI_SAFETY', 'SK_WORKFLOW_THINKING']","['beginner', 'intermediate']",convert_rows_to_json
DOC_019,Rubric_mini_project,Rubric_mini_project.xlsx,raw/xlsx/Assessment/Rubric_mini_project.xlsx,.xlsx,Assessment,assessment_bank,approved,True,True,"['ROLE_AI_FOUNDATION_STAFF', 'ROLE_AI_AGENT_INTERN', 'ROLE_ERP_OPERATIONS_STAFF', 'ROLE_JUNIOR_SOFTWARE_STAFF']","['SK_AI_LITERACY', 'SK_PROMPT_BASIC', 'SK_PROMPT_STRUCTURED', 'SK_AI_TOOL_USE', 'SK_AI_SAFETY', 'SK_WORKFLOW_THINKING']","['beginner', 'intermediate']",convert_rows_to_json
DOC_020,Checklist_thao_tac_ERP,Checklist_thao_tac_ERP.xlsx,raw/xlsx/ERP_SOP/Checklist_thao_tac_ERP.xlsx,.xlsx,ERP_SOP,checklist,approved,True,True,"['ROLE_ERP_OPERATIONS_STAFF', 'ROLE_NEW_HIRE_ONBOARDING']","['SK_ERP_ORDER_ENTRY', 'SK_ERP_REQUEST_APPROVAL', 'SK_ERP_DATA_HYGIENE', 'SK_SOP_COMPLIANCE']","['beginner', 'intermediate']",convert_rows_to_json
DOC_021,FAQ_noi_bo_va_ma_loi,FAQ_noi_bo_va_ma_loi.xlsx,raw/xlsx/ERP_SOP/FAQ_noi_bo_va_ma_loi.xlsx,.xlsx,ERP_SOP,faq,approved,True,True,"['ROLE_ERP_OPERATIONS_STAFF', 'ROLE_NEW_HIRE_ONBOARDING']","['SK_ERP_ORDER_ENTRY', 'SK_ERP_REQUEST_APPROVAL', 'SK_ERP_DATA_HYGIENE', 'SK_SOP_COMPLIANCE']","['beginner', 'intermediate']",convert_rows_to_json
DOC_022,Skill_matrix_junior_dev_AI_agent_intern,Skill_matrix_junior_dev_AI_agent_intern.xlsx,raw/xlsx/Software_Process/Skill_matrix_junior_dev_AI_agent_intern.xlsx,.xlsx,Software_Process,skill_matrix,approved,False,False,"['ROLE_JUNIOR_SOFTWARE_STAFF', 'ROLE_AI_AGENT_INTERN']","['SK_SOFTWARE_PROCESS', 'SK_TICKET_WRITING', 'SK_GIT_FLOW', 'SK_CODE_REVIEW', 'SK_REPORTING', 'SK_PROJECT_EXECUTION']","['beginner', 'intermediate']",convert_rows_to_json
